task_id,correct,score,ground_truth,predicted,mean_entropy,n_tokens,wall_time_sec,traj_length
imo-bench-algebra-045,1,1.0,$\frac{17458+2970\sqrt{5}}{23769}$,\frac{17458 + 2970\sqrt{5}}{23769},0.15328810540137774,28701,934.631315946579,3
imo-bench-algebra-046,1,1.0,$-\frac{10}{3}$,-\frac{10}{3},0.1550126968345002,15875,521.685994386673,3
imo-bench-algebra-047,0,0.0,$A(x)=\frac{1}{2}(x^2-x-4)$,A(x) = \frac{1}{2}x^2 - \frac{1}{2}x - 2,0.1979671675603343,11994,398.9417841434479,3
imo-bench-algebra-048,1,1.0,"$[-6,5]$","[-6, 5]",0.18564006538228112,10469,347.7455508708954,3
imo-bench-algebra-049,1,1.0,$\frac{16}{27}$,\frac{16}{27},0.1479130049514342,12822,438.85471415519714,3
imo-bench-algebra-050,1,1.0,44,44,0.19402880262954253,19235,620.7633154392242,3
imo-bench-algebra-051,0,0.0,odd $n$,6,0.05827237837399386,32768,1092.6443259716034,3
imo-bench-algebra-052,0,0.0,48,1810,0.05734461742643712,32768,1066.7542622089386,3
imo-bench-algebra-053,0,0.0,"$(-\infty, -3) \cup (-3, \infty)$",\mathbb{R} \setminus \{-3\},0.17106254628862352,32164,1036.012423992157,3
imo-bench-algebra-054,0,0.0,2026,3,0.19841685795646405,20643,658.3854732513428,3
imo-bench-algebra-055,0,0.0,2079,1087,0.1408656478731594,23525,755.2664606571198,3
imo-bench-algebra-056,1,1.0,1,1,0.19083194825512068,25824,850.4053473472595,3
imo-bench-algebra-057,1,1.0,"1/2,1,2","1, 2, \frac{1}{2}",0.17647421974069313,12525,406.96075654029846,3
imo-bench-algebra-058,1,1.0,$\frac{16}{3}$,16/3,0.24482035493249288,18052,806.718868970871,3
imo-bench-algebra-059,0,0.0,0,1,0.13784153965367432,27816,911.0364851951599,3
imo-bench-algebra-060,1,1.0, $\frac{2617}{2618}$,\frac{2617}{2618},0.19876340767593476,14033,561.9550211429596,3
imo-bench-algebra-061,1,1.0,2,2,0.23433585934954487,16943,634.8985030651093,3
imo-bench-algebra-062,0,0.0,506,1,0.04340097691597843,32768,1079.3823492527008,3
imo-bench-algebra-063,1,1.0,8,8,0.20448640781233307,12879,418.03893399238586,3
imo-bench-algebra-064,1,1.0,-3,-3,0.1873806247183798,12269,509.1685585975647,3
imo-bench-algebra-065,0,0.0,$0<c<1$,"(0, 1)",0.18017515330499229,16139,594.1588544845581,3
imo-bench-algebra-066,0,0.0,"997008, 995026, 995018",2,0.029930796544892998,32768,1091.1484725475311,3
imo-bench-algebra-067,1,1.0,"$(2, \frac{1}{2}, \frac{9}{4})$","(2, 1/2, 9/4)",0.14367299397223363,26846,886.0294013023376,3
imo-bench-algebra-068,0,0.0,2,n \ge 2,0.20183985809183497,24688,821.1574957370758,3
imo-bench-algebra-069,0,0.0,even $n$,\text{all even integers } n \ge 2,0.17746858608712673,27931,925.5020837783813,3
imo-bench-algebra-070,1,1.0,$\frac{1}{4}$,1/4,0.15353884885684094,12772,424.8829119205475,3
imo-bench-algebra-071,1,1.0,$\frac{2}{3}$,\frac{2}{3},0.15202018826977515,14164,473.0953495502472,3
imo-bench-algebra-072,0,0.0,$x\geq-\frac{6}{5}$  ,x \ge -\frac{6}{5},0.1895183502135141,15981,536.1263897418976,3
imo-bench-algebra-073,1,1.0,4,4,0.18280127549244674,23318,789.7374310493469,3
imo-bench-algebra-074,1,1.0,"3, 4","3, 4",0.16694252974475815,15321,516.5009186267853,3
imo-bench-algebra-075,0,0.0,3,2,0.16777084399178072,26326,971.5997803211212,3
imo-bench-algebra-076,1,1.0,2026,2026,0.20106561186436442,15785,535.9403183460236,3
imo-bench-algebra-077,1,1.0,$-\frac{27}{8}$,-\frac{27}{8},0.16065951621142222,18814,695.3994750976562,3
imo-bench-algebra-078,1,1.0,1012,1012,0.16230024543558672,20504,841.1529655456543,3
imo-bench-algebra-079,1,1.0,$g(n)=n - 1$,g(n) = n - 1,0.18320400401545534,21849,847.2353563308716,3
imo-bench-algebra-080,0,0.0,3988,2024,0.20905692274520699,29782,955.5274770259857,3
imo-bench-algebra-081,0,0.0,$n=4k+3$,1,0.17311884266760239,20020,769.5745286941528,3
imo-bench-algebra-082,0,0.0,$\frac{1}{n}4\cos^{2}\frac{\pi}{2n}$.,\frac{4 \cos^2\left(\frac{\pi}{2n}\right)}{n},0.21217025935916584,22384,755.0461919307709,3
imo-bench-algebra-083,1,1.0,2048,2048,0.1256713280260986,18477,673.7717597484589,3
imo-bench-algebra-084,0,0.0,$Q(x)=c(x-1)^2(x-4)(x+2)$,Q(x) = c(x-1)^2(x-4)(x+2) \text{ for any } c \in \mathbb{C},0.17524853117427305,12111,524.1766676902771,3
imo-bench-algebra-085,1,1.0,496503,496503,0.22426755177390625,13593,574.1142919063568,3
imo-bench-algebra-086,1,1.0,$0 < k \le \frac{4}{9}$,0 < k \le \frac{4}{9},0.15937914243783122,18525,976.5165071487427,3
imo-bench-algebra-087,0,0.0,"$n=2k, n=3k$",n \text{ is a multiple of } 2 \text{ or } 3,0.2396201528563007,11501,667.024199962616,3
imo-bench-algebra-088,1,1.0,$\frac{1}{7}$,1/7,0.0608823199409323,29827,1106.3045971393585,3
imo-bench-algebra-089,1,1.0,$2^{2024}+1$,2^{2024} + 1,0.15952174291956556,15909,595.9274022579193,3
imo-bench-algebra-090,1,1.0,"60750, 854130, 854970","60750, 854130, 854970",0.17448438503469801,11044,424.2425739765167,3
imo-bench-algebra-091,0,0.0,odd $n$,1,0.09285852438060854,32768,1151.547330379486,3
imo-bench-algebra-092,0,0.0,21,20,0.17338908718124527,21860,743.1482331752777,3
imo-bench-algebra-093,1,1.0,4,4,0.13818399193035072,20531,697.0551323890686,3
imo-bench-algebra-094,1,1.0,33614,33614,0.26133271087328735,18459,611.7728579044342,3
imo-bench-algebra-095,0,0.0,11059,10,0.026913204661818287,32768,1103.404464483261,3
imo-bench-algebra-096,0,0.0,$4\cdot3^{2023}$,2,0.023078753542309056,32768,1100.9110600948334,3
imo-bench-algebra-097,0,0.0,"$\lfloor\varphi n\rfloor$, where $\varphi = \frac{\sqrt{5}+1}{2}",a_n = \left\lfloor \frac{n(1+\sqrt{5})}{2} \right\rfloor,0.1445386737079845,19268,648.9697349071503,3
imo-bench-algebra-098,0,0.0,"$(a,b,c)=p(-2,1,0)+q(1,-2,1)$ for nonnegative $p, q$","a+2b+3c=0, c \geq 0, b \geq -2c",0.15707719989908356,20249,678.0202567577362,3
imo-bench-algebra-099,1,1.0,$P(n)=(n+2a)^{2}-2a^{2}$ for some nonnegative integer $a$,P(n) = n^2 + 4cn + 2c^2 \text{ for some non-negative integer } c,0.17807096969247962,25746,867.1793055534363,3
imo-bench-algebra-100,0,0.0,8,2,0.18582194893732612,22826,767.5163612365723,3
imo-bench-combinatorics-001,1,1.0,624,624,0.28114563958930433,15977,541.5554304122925,3
imo-bench-combinatorics-002,1,1.0,305,305,0.22658955891785057,15088,512.6730852127075,3
imo-bench-combinatorics-003,0,0.0,1,likely 1 for all $n$.,0.09410279654335299,32768,1125.2171654701233,3
imo-bench-combinatorics-004,0,0.0,9216,4934,0.20352962725851576,32768,1116.5264492034912,3
imo-bench-combinatorics-005,0,0.0,1431655765,1431655764,0.21992707280276366,22094,752.9036140441895,3
imo-bench-combinatorics-006,1,1.0,28,28,0.2737850273736982,8844,296.39757442474365,3
imo-bench-combinatorics-007,1,1.0,19,19,0.24553575346488446,23123,787.0316233634949,3
imo-bench-combinatorics-008,1,1.0,49,49,0.3134761774681312,10338,354.4138000011444,3
imo-bench-combinatorics-009,1,1.0,103285,103285,0.2819660741209705,10594,372.3503386974335,3
imo-bench-combinatorics-010,0,0.0,4,3.,0.16049490900293337,32768,1093.1220359802246,3
imo-bench-combinatorics-011,0,0.0,0.5,2/3,0.227177630335714,24270,810.8252289295197,3
imo-bench-combinatorics-012,0,0.0,$\binom{2k}{k}^2$,2k+2,0.23755703593422658,24358,810.2860403060913,3
imo-bench-combinatorics-013,1,1.0,120526555,120526555,0.142916220807559,29498,981.8420870304108,3
imo-bench-combinatorics-014,0,0.0,5292,7812,0.25897861778344367,25562,907.5418567657471,3
imo-bench-combinatorics-015,0,0.0,$12^{10}$,0.,0.23964353010284753,32768,1113.8841614723206,3
imo-bench-combinatorics-016,0,0.0,41,42,0.25415223289578126,23408,826.164261341095,3
imo-bench-combinatorics-017,1,1.0,48500200,48500200,0.22973456405239798,24254,947.8721487522125,3
imo-bench-combinatorics-018,1,1.0,1014,1014,0.2424142382617858,24008,818.8496263027191,3
imo-bench-combinatorics-019,1,1.0,50803200,50803200,0.20175532362280477,22825,761.2800137996674,3
imo-bench-combinatorics-020,1,1.0,21,21,0.264050717531028,18839,625.577356338501,3
imo-bench-combinatorics-021,1,1.0,3016944,3016944,0.18565947028628765,23401,773.4771564006805,3
imo-bench-combinatorics-022,0,0.0,25502500,671650,0.1795918890864096,30539,1104.3892486095428,3
imo-bench-combinatorics-023,0,0.0,127009,125060,0.19489438305071236,32078,1133.2636749744415,3
imo-bench-combinatorics-024,1,1.0,$-\frac{2024}{2025}$,-\frac{2024}{2025},0.2117917476376011,13787,456.69572830200195,3
imo-bench-combinatorics-025,0,0.0,290,likely 2.,0.14296394649399788,32768,1057.4548370838165,3
imo-bench-combinatorics-026,0,0.0,847288609444,3^{25} + 1,0.16596657658443448,21549,836.4557495117188,3
imo-bench-combinatorics-027,1,1.0,2048,2048,0.1991418557547218,28296,909.9291849136353,3
imo-bench-combinatorics-028,0,0.0,1198,812,0.19076384352696935,25626,822.1378993988037,3
imo-bench-combinatorics-029,0,0.0,506,2,0.2436725003006093,31086,1033.9718866348267,3
imo-bench-combinatorics-030,0,0.0,486,324,0.2469156536597499,31871,1052.8698551654816,3
imo-bench-combinatorics-031,0,0.0,2,4 because,0.16434885362550675,32768,1069.4225523471832,3
imo-bench-combinatorics-032,0,0.0,43,1,0.2740592474169151,32768,1048.5846865177155,3
imo-bench-combinatorics-035,0,0.0,2027091,4025,0.2537961342953896,19335,618.4145801067352,3
imo-bench-combinatorics-038,1,1.0,307546875,307546875,0.2579462160984531,14035,437.24401473999023,3
